Economy_Label,Q4 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Footnote,Q4 2024_Index_Average_Q1_2023__100_MissingValue
"Albania",12.39,,
"Algeria",67.95,,
"American Samoa",26.16,,
"Angola",62.07,,
"Antigua and Barbuda",26.15,,
"Argentina",99.41,,
"Aruba",21.27,,
"Australia",141.38,,
"Bahamas",87.22,,
"Bahrain",50.43,,
"Bangladesh",70.27,,
"Barbados",37.75,,
"Belgium",347.74,,
"Belize",18.17,,
"Benin",54.86,,
"Bermuda",7.98,,
"Bonaire, Sint Eustatius and Saba",5.31,,
"Brazil",155.23,,
"British Virgin Islands",8.28,,
"Brunei Darussalam",21.62,,
"Bulgaria",29.24,,
"Cabo Verde",11.68,,
"Cambodia",48.17,,
"Cameroon",63.65,,
"Canada",154.25,,
"Cayman Islands",8.46,,
"Chile",104.52,,
"China",1250.45,,
"China, Hong Kong SAR",374.52,,
"China, Taiwan Province of",335.29,,
"Christmas Island",5.23,,
"Colombia",195.08,,
"Comoros",15.77,,
"Congo",86.12,,
"Cook Islands",8.24,,
"Costa Rica",97.12,,
"Cote d'Ivoire",100.82,,
"Croatia",61.19,,
"Cuba",25.32,,
"Curacao",27.99,,
"Cyprus",47.78,,
"Dem. Rep. of the Congo",21.2,,
"Denmark",83.16,,
"Djibouti",69.03,,
"Dominica",24.47,,
"Dominican Republic",120.07,,
"Ecuador",113.94,,
"Egypt",251.53,,
"El Salvador",22.64,,
"Equatorial Guinea",33.35,,
"Eritrea",6.48,,
"Estonia",31.03,,
"Faroe Islands",19.85,,
"Fiji",42.08,,
"Finland",70.52,,
"France",265.43,,
"French Guiana",19.53,,
"French Polynesia",40.26,,
"Gabon",33.51,,
"Gambia",12.53,,
"Georgia",28.77,,
"Germany",306.49,,
"Ghana",111.57,,
"Gibraltar",7.37,,
"Greece",180.21,,
"Greenland",11.65,,
"Grenada",23.14,,
"Guadeloupe",44.39,,
"Guam",22.85,,
"Guatemala",107.76,,
"Guinea",22.63,,
"Guinea-Bissau",16.24,,
"Guyana",38.91,,
"Haiti",33.71,,
"Honduras",60.46,,
"Iceland",27.98,,
"India",358.54,,
"Indonesia",231.68,,
"Iran (Islamic Republic of)",58.92,,
"Iraq",83.53,,
"Ireland",66.36,,
"Israel",79.85,,
"Italy",282.21,,
"Jamaica",124.53,,
"Japan",411.41,,
"Jordan",83.8,,
"Kenya",69.65,,
"Kiribati",16.19,,
"Kuwait",36.92,,
"Latvia",38.96,,
"Lebanon",74.13,,
"Liberia",18.46,,
"Libya",65.36,,
"Lithuania",94.22,,
"Madagascar",28.32,,
"Malaysia",497.38,,
"Maldives",19.1,,
"Malta",106.44,,
"Marshall Islands",21.64,,
"Martinique",39.47,,
"Mauritania",22.03,,
"Mauritius",81.22,,
"Mayotte",15.4,,
"Mexico",188.99,,
"Micronesia (Federated States of)",14.99,,
"Montenegro",15.31,,
"Morocco",253.45,,
"Mozambique",55.59,,
"Myanmar",38.44,,
"Namibia",46.13,,
"Netherlands (Kingdom of the)",371.91,,
"Netherlands Antilles",,,"Not applicable"
"New Caledonia",45.4,,
"New Zealand",92.19,,
"Nicaragua",25.73,,
"Nigeria",98.84,,
"Niue",5.76,,
"Norfolk Island",2.5,,
"Northern Mariana Islands",15.14,,
"Norway",57.01,,
"Oman",117.87,,
"Pakistan",159.93,,
"Palau",6.87,,
"Panama",212.46,,
"Papua New Guinea",49.52,,
"Paraguay",8.71,,
"Peru",134.31,,
"Philippines",181.84,,
"Poland",132.46,,
"Portugal",184.56,,
"Puerto Rico",44.55,,
"Qatar",99.97,,
"Republic of Korea",639.89,,
"Reunion",70.46,,
"Romania",56.88,,
"Russian Federation",163.42,,
"Saint Helena",3.44,,
"Saint Kitts and Nevis",8.28,,
"Saint Lucia",27.27,,
"Saint Pierre and Miquelon",3.73,,
"Saint Vincent and the Grenadines",20.16,,
"Samoa",29.26,,
"Sao Tome and Principe",12.5,,
"Saudi Arabia",238.84,,
"Senegal",57.69,,
"Serbia and Montenegro",,,"Not applicable"
"Seychelles",26.3,,
"Sierra Leone",18.49,,
"Singapore",580.4,,
"Sint Maarten (Dutch part)",32.44,,
"Slovenia",75.96,,
"Solomon Islands",30.58,,
"Somalia",46.37,,
"South Africa",100.57,,
"Spain",425.22,,
"Sri Lanka",264.32,,
"Sudan",30.65,,
"Sudan (...2011)",,,"Not applicable"
"Suriname",40.83,,
"Sweden",118.85,,
"Syrian Arab Republic",27.64,,
"Thailand",266.91,,
"Timor-Leste",11.99,,
"Togo",94.29,,
"Tonga",27.98,,
"Trinidad and Tobago",59.95,,
"Tunisia",27.62,,
"Turkiye",279.32,,
"Turks and Caicos Islands",4.13,,
"Tuvalu",4.2,,
"Ukraine",18.06,,
"United Arab Emirates",311.19,,
"United Kingdom",380.57,,
"United Republic of Tanzania",56.44,,
"United States",520.56,,
"United States Virgin Islands",18.77,,
"Uruguay",94.66,,
"Vanuatu",25.85,,
"Venezuela (Bolivarian Rep. of)",38.04,,
"Viet Nam",414.68,,
"Wallis and Futuna Islands",5.05,,
"Yemen",33.44,,
